,route_prediction,perf_prediction,diff_altitude,geo_distance,userid,workoutid,heart_rate_avg,speed_avg,elapsed_time
22076,0,0,-0.180933788419,-0.10963448137,11992223,347426562,0E-18,11.860165427500000000,2434
22077,0,2,-0.136028289795,-0.0619856901467,196781,350105254,155.431000000000000000,11.611890002200000000,2621
22078,0,2,-0.132496401668,0.0123477326706,1708694,361385451,164.625000000000000000,11.454293072000000000,3575
22079,0,2,-0.159237876534,-0.0452469363809,9232852,362590838,147.000000000000000000,10.157068062800000000,3500
22080,0,1,-0.180933788419,-0.104810014367,1023513,363129579,161.000000000000000000,8.883043139400000000,3601
22081,0,2,-0.0976820141077,-0.069493368268,280024,364718180,161.978000000000000000,13.526539080700000000,1984
22082,0,2,-0.119882494211,-0.0321268253028,2974312,372952611,143.007000000000000000,11.130469736200000000,3507
22083,0,1,-0.0754815414548,-0.184639111161,12635957,374641745,143.095000000000000000,8.251512971900000000,2033
22084,0,1,-0.170842662454,-0.0528349354863,14671923,393993605,152.000000000000000000,8.985165591800000000,3498
22085,0,2,-0.1093903929,-0.0766436457634,368603,394314130,137.000000000000000000,10.365873666900000000,3659
22086,0,2,-0.180933788419,0.0913664028049,3021311,397749505,148.000000000000000000,11.137896829900000000,4874
22087,0,0,-0.180933788419,-0.135961741209,1842744,405401402,0E-18,12.342857142900000000,1740
22088,0,2,-0.118873380125,-0.0106984805316,8662931,410224942,161.750000000000000000,14.903265315200000000,2900
22089,0,0,-0.180933788419,-0.0600122511387,851531,414976599,0E-18,11.003876774400000000,3312
22090,0,2,-0.180933788419,0.0178624931723,2358,416475651,140.000000000000000000,11.888785510900000000,3667
22091,0,0,-0.180933788419,-0.038116812706,2164708,425062603,0E-18,13.098276445000000000,2690
22092,0,2,-0.180933788419,-0.00557128619403,1060751,432952293,138.000000000000000000,11.791990261400000000,4483
22093,0,2,-0.180933788419,-0.0499600358307,4264744,436218983,166.000000000000000000,12.619502868100000000,3138
22094,0,1,-0.0976820141077,-0.144472077489,407769,439788503,150.000000000000000000,9.577287066300000000,1902
22095,0,2,-0.0463366098702,-0.0168265104294,1737346,448480720,143.158000000000000000,12.303173171500000000,3571
22096,0,2,-0.0623630806804,-0.0471120402217,4264744,462973460,159.462000000000000000,12.225072936300000000,2959
22097,0,2,-0.0542901828885,-0.0582549497485,885462,464811907,150.000000000000000000,13.076014717800000000,2727
22098,0,2,-0.148642197251,-0.0806986391544,56331,477355415,143.000000000000000000,11.302897385000000000,3127
22099,0,2,-0.144101187587,-0.0677952170372,1670340,501967756,134.072000000000000000,10.787864135600000000,3140
22100,0,0,-0.0769952088594,0.0177818890661,4357738,510260172,0E-18,8.763988057900000000,5341
22101,0,1,-0.139560177922,-0.185843080282,10917968,527098368,132.000000000000000000,7.935630014200000000,2111
22102,0,2,-0.129469051957,-0.0537090599537,5547218,530165941,150.000000000000000000,11.543616578900000000,3449
22103,0,1,-0.173365443945,-0.274593859911,1616449,547160499,141.000000000000000000,0E-18,3000
22104,0,0,-0.0896091163158,-0.0695056021214,1486987,554001436,0E-18,9.541581727800000000,3804
22105,0,1,-0.140569299459,0.0601903013885,2717503,554123267,156.000000000000000000,7.592658682000000000,6905
22106,0,2,-0.151669532061,-0.110263004899,1655221,567529655,147.000000000000000000,10.339351616100000000,2152
22107,0,2,-0.0255304779857,-0.155995979905,1676051,575922669,146.000000000000000000,10.138495816800000000,2100
22108,0,1,-0.126441717148,-0.0719099864364,1486987,588308464,141.000000000000000000,9.687494171100000000,3732
22109,0,1,-0.153991758823,-0.142035141587,5836671,596933213,86.000000000000000000,9.757398846700000000,2267
22110,0,0,-0.0734633207321,-0.0330452434719,7183572,618659373,0E-18,11.546077548300000000,3484
22111,0,1,-0.129973620176,-0.187502026558,3559941,618854660,147.438000000000000000,9.992347826100000000,1316
22112,0,1,-0.13754196465,0.0998911112547,3700284,637865541,141.000000000000000000,8.619849317400000000,9036
