index,workoutid,route_prediction,perf_prediction,userid,diff_altitude,geo_distance,heart_rate_avg,speed_avg,elapsed_time,user_avg_speed,user_avg_dist
559,375992352,1,2,9937628,-0.172066375613,-0.293060719967,159.380000000000000000,12.534664349000000000,2475,12.2061995778666666666667,-0.246720775962
560,601182478,1,2,9937628,-0.179494738579,-0.175970330834,145.642000000000000000,12.641850074800000000,2707,12.2061995778666666666667,-0.246720775962
561,166522539,1,0,5325166,-0.212179556489,-0.185447663069,135.000000000000000000,8.471096186100000000,4169,8.4710961861000000000000,-0.185447663069
562,29839134,1,2,1038205,-0.0604180246592,-0.16926638782,176.577000000000000000,14.940945782300000000,2411,13.6180505644500000000000,-0.21238090843
563,377653686,1,2,1038205,-0.00492812693119,-0.255495429039,157.476000000000000000,12.295155346600000000,2800,13.6180505644500000000000,-0.21238090843
564,434477124,1,2,2218816,-0.108182422817,-0.244129568338,141.865000000000000000,15.003341386800000000,2410,15.0033413868000000000000,-0.244129568338
565,170636938,1,0,2369854,-0.165380850434,-0.248655647039,160.000000000000000000,10.080840088100000000,3869,10.0808400881000000000000,-0.248655647039
566,190752630,1,2,3905196,-0.0613837130368,-0.318410098553,145.095000000000000000,13.063282769300000000,2578,12.9651473468666666666667,-0.266553225617
567,490321002,1,2,3905196,0.0629225745797,-0.318670898676,160.480000000000000000,14.978969072200000000,2422,12.9651473468666666666667,-0.266553225617
568,296540457,1,2,3905196,-0.0814402997494,-0.2293394804,141.801000000000000000,13.107945766800000000,2790,12.9651473468666666666667,-0.266553225617
569,595744069,1,2,3905196,-0.104063391685,-0.225790724158,138.904000000000000000,12.372024054300000000,2962,12.9651473468666666666667,-0.266553225617
570,373057864,1,2,3905196,-0.0368701033294,-0.226875573397,143.704000000000000000,11.956368101700000000,3043,12.9651473468666666666667,-0.266553225617
571,566521525,1,2,3905196,-0.119350969791,-0.280232578516,142.330000000000000000,12.312294316900000000,2936,12.9651473468666666666667,-0.266553225617
572,320010594,1,2,6000431,0.184495225549,-0.232341855764,139.090000000000000000,11.243008157000000000,2884,11.3695511885500000000000,-0.265463918447
573,297687384,1,2,6000431,0.157010257244,-0.298585981131,143.329000000000000000,11.496094220100000000,2709,11.3695511885500000000000,-0.265463918447
574,555689786,1,0,13005985,0.152553245425,-0.367264539003,0E-18,10.021562224500000000,2937,10.0215622245000000000000,-0.367264539003
575,182646044,1,0,7136731,0.0960976555943,-0.420473247766,0E-18,8.348108361400000000,3146,8.3481083614000000000000,-0.420473247766
576,264050346,1,2,10943750,0.0983261689544,-0.404404342175,151.215000000000000000,11.398513365300000000,2670,11.2805800756500000000000,-0.327468812466
577,269777237,1,2,10943750,0.314491629601,-0.250533282757,151.860000000000000000,11.162646786000000000,2829,11.2805800756500000000000,-0.327468812466
578,368478278,1,2,1670340,-0.166866511106,-0.211738720536,152.865000000000000000,12.106675871000000000,2824,12.3875976615000000000000,-0.160358291119
579,108549193,1,2,1670340,-0.142554953694,-0.108977861702,155.000000000000000000,12.668519452000000000,2499,12.3875976615000000000000,-0.160358291119
580,220566924,1,2,2076057,-0.102982565761,-0.308991700411,139.877000000000000000,11.264603860000000000,2458,10.8174669875500000000000,-0.285816013813
581,445085774,1,0,2076057,-0.212179556489,-0.262640327215,154.000000000000000000,10.370330115100000000,3481,10.8174669875500000000000,-0.285816013813
